측정일시,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20240101,동남권,강남구,24,20
20240101,동남권,강동구,21,16
20240101,동북권,강북구,20,16
20240101,서남권,강서구,29,20
20240101,서남권,관악구,34,25
20240101,동북권,광진구,20,13
20240101,서남권,구로구,31,25
20240101,서남권,금천구,31,22
20240101,동북권,노원구,25,20
20240101,동북권,도봉구,19,16
20240101,동북권,동대문구,24,18
20240101,서남권,동작구,27,21
20240101,서북권,마포구,24,23
20240101,서북권,서대문구,23,19
20240101,동남권,서초구,28,21
20240101,동북권,성동구,25,18
20240101,동북권,성북구,21,18
20240101,동남권,송파구,22,18
20240101,서남권,양천구,30,25
20240101,서남권,영등포구,26,22
20240101,도심권,용산구,23,16
20240101,서북권,은평구,23,17
20240101,도심권,종로구,23,20
20240101,도심권,중구,19,21
20240101,동북권,중랑구,22,16
20240102,동남권,강남구,41,29
20240102,동남권,강동구,38,30
20240102,동북권,강북구,34,25
20240102,서남권,강서구,43,26
20240102,서남권,관악구,44,28
20240102,동북권,광진구,37,26
20240102,서남권,구로구,44,29
20240102,서남권,금천구,45,34
20240102,동북권,노원구,40,29
20240102,동북권,도봉구,31,25
20240102,동북권,동대문구,39,27
20240102,서남권,동작구,44,32
20240102,서북권,마포구,39,30
20240102,서북권,서대문구,38,30
20240102,동남권,서초구,42,29
20240102,동북권,성동구,38,26
20240102,동북권,성북구,37,27
20240102,동남권,송파구,41,29
20240102,서남권,양천구,43,33
20240102,서남권,영등포구,38,30
20240102,도심권,용산구,40,26
20240102,서북권,은평구,39,28
20240102,도심권,종로구,41,32
20240102,도심권,중구,34,29
20240102,동북권,중랑구,35,28
20240103,동남권,강남구,44,31
20240103,동남권,강동구,41,30
20240103,동북권,강북구,36,25
20240103,서남권,강서구,46,28
20240103,서남권,관악구,49,30
20240103,동북권,광진구,39,26
20240103,서남권,구로구,49,33
20240103,서남권,금천구,45,34
20240103,동북권,노원구,44,29
20240103,동북권,도봉구,36,28
20240103,동북권,동대문구,42,28
20240103,서남권,동작구,45,32
20240103,서북권,마포구,39,30
20240103,서북권,서대문구,39,30
20240103,동남권,서초구,46,31
20240103,동북권,성동구,41,27
20240103,동북권,성북구,39,28
20240103,동남권,송파구,41,29
20240103,서남권,양천구,46,33
20240103,서남권,영등포구,40,30
20240103,도심권,용산구,41,26
20240103,서북권,은평구,42,30
20240103,도심권,종로구,44,31
20240103,도심권,중구,37,30
20240103,동북권,중랑구,36,28
20240104,동남권,강남구,53,36
20240104,동남권,강동구,56,42
20240104,동북권,강북구,54,37
20240104,서남권,강서구,53,30
20240104,서남권,관악구,52,32
20240104,동북권,광진구,51,33
20240104,서남권,구로구,54,35
20240104,서남권,금천구,49,35
20240104,동북권,노원구,58,40
20240104,동북권,도봉구,51,39
20240104,동북권,동대문구,55,36
20240104,서남권,동작구,48,34
20240104,서북권,마포구,49,37
