2024-04-01 00:13:07.077 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - Starting ParticulateApplication using Java 17.0.10 with PID 14924 (C:\vscodeWorkspace\test\particulate\build\classes\java\main started by jisuy in C:\vscodeWorkspace\test\particulate)
2024-04-01 00:13:07.080 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - No active profile set, falling back to 1 default profile: "default"
2024-04-01 00:13:07.905 INFO  [traceId=] [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-04-01 00:13:07.945 INFO  [traceId=] [main] [o.s.w.s.a.s.AnnotationActionEndpointMapping] - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-04-01 00:13:08.347 INFO  [traceId=] [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
2024-04-01 00:13:08.360 INFO  [traceId=] [main] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-01 00:13:08.365 INFO  [traceId=] [main] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-04-01 00:13:08.365 INFO  [traceId=] [main] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-01 00:13:08.490 INFO  [traceId=] [main] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-04-01 00:13:08.491 INFO  [traceId=] [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1359 ms
2024-04-01 00:13:09.185 INFO  [traceId=] [main] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8080"]
2024-04-01 00:13:09.210 INFO  [traceId=] [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8080 (http) with context path ''
2024-04-01 00:13:09.224 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - Started ParticulateApplication in 2.675 seconds (process running for 3.249)
2024-04-01 00:13:11.388 INFO  [traceId=] [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2024-04-01 00:13:16.450 INFO  [traceId=] [main] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@19b9f903
2024-04-01 00:13:16.493 INFO  [traceId=] [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2024-04-01 00:28:20.260 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - Starting ParticulateApplication using Java 17.0.10 with PID 984 (C:\vscodeWorkspace\test\particulate\build\classes\java\main started by jisuy in C:\vscodeWorkspace\test\particulate)
2024-04-01 00:28:20.264 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - No active profile set, falling back to 1 default profile: "default"
2024-04-01 00:28:21.470 INFO  [traceId=] [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-04-01 00:28:21.512 INFO  [traceId=] [main] [o.s.w.s.a.s.AnnotationActionEndpointMapping] - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-04-01 00:28:21.945 INFO  [traceId=] [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
2024-04-01 00:28:21.964 INFO  [traceId=] [main] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-01 00:28:21.964 INFO  [traceId=] [main] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-04-01 00:28:21.964 INFO  [traceId=] [main] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-01 00:28:22.131 INFO  [traceId=] [main] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-04-01 00:28:22.131 INFO  [traceId=] [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1801 ms
2024-04-01 00:28:23.046 INFO  [traceId=] [main] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8080"]
2024-04-01 00:28:23.091 INFO  [traceId=] [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8080 (http) with context path ''
2024-04-01 00:28:23.099 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - Started ParticulateApplication in 3.495 seconds (process running for 4.365)
2024-04-01 00:28:25.690 INFO  [traceId=] [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2024-04-01 00:28:31.581 INFO  [traceId=] [main] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4cb00fa5
2024-04-01 00:28:31.608 INFO  [traceId=] [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
