2024-03-30 18:56:07.828 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - Starting ParticulateApplication using Java 17.0.10 with PID 14004 (C:\vscodeWorkspace\test\particulate\build\classes\java\main started by jisuy in C:\vscodeWorkspace\test\particulate)
2024-03-30 18:56:07.832 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - No active profile set, falling back to 1 default profile: "default"
2024-03-30 18:56:08.742 INFO  [traceId=] [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-03-30 18:56:08.770 INFO  [traceId=] [main] [o.s.w.s.a.s.AnnotationActionEndpointMapping] - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-03-30 18:56:09.155 INFO  [traceId=] [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
2024-03-30 18:56:09.168 INFO  [traceId=] [main] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8080"]
2024-03-30 18:56:09.174 INFO  [traceId=] [main] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-03-30 18:56:09.174 INFO  [traceId=] [main] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-30 18:56:09.318 INFO  [traceId=] [main] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-03-30 18:56:09.319 INFO  [traceId=] [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1416 ms
2024-03-30 18:56:09.984 INFO  [traceId=] [main] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8080"]
2024-03-30 18:56:10.012 INFO  [traceId=] [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8080 (http) with context path ''
2024-03-30 18:56:10.018 INFO  [traceId=] [main] [c.e.particulate.ParticulateApplication] - Started ParticulateApplication in 2.928 seconds (process running for 3.371)
